atmoProfile,aeroProfile,GroundReflectance,AOT,band,aX,bX,cX,MeanSRRAD,MaxSRRAD,MinSRRAD,StdSRRAD,MeanSRTOA,MaxSRTOA,MinSRTOA,StdSRTOA
1,1,-3,0.0,5,0.0218800008297,0.000500000023749,0.00112999998964,136.865844614,687.0,12.0,21.8174336325,2658.46589862,614.0,12.0,22.4292779321
1,1,-3,0.0,6,0.0599699988961,0.000159999995958,0.000369999994291,51.3596378168,585.0,1.0,18.4236851411,2637.85503672,514.0,1.0,16.4403424152
1,1,-3,0.1,1,0.00268999999389,0.0938500016928,0.146500006318,17.9774877592,349.0,1.0,11.0937709289,142.457051051,367.0,1.0,9.9144960002
1,1,-3,0.1,2,0.00279999990016,0.0481900013983,0.0950099974871,37.0125756048,509.0,12.0,14.1510540107,144.413043635,497.0,12.0,12.0167276442
1,1,-3,0.1,3,0.00310000008903,0.0268500000238,0.0646900013089,28.1263158842,543.0,8.0,15.5668558305,119.057108655,517.0,8.0,13.3243843654
1,1,-3,0.1,4,0.00463999994099,0.0125099997967,0.0367499999702,296.662197581,703.0,14.0,38.5584476279,1199.52544283,653.0,14.0,37.0041469971
1,1,-3,0.1,5,0.022309999913,0.00173999997787,0.00855999998748,138.214103903,696.0,11.0,22.1779698044,2654.66570601,614.0,11.0,22.4292779321
1,1,-3,0.1,6,0.061060000211,0.000790000020061,0.00451999995857,51.4677797379,593.0,1.0,18.7662563596,2651.91148474,514.0,1.0,16.4403424152
1,1,-3,0.2,1,0.00285999989137,0.109760001302,0.161320000887,8.94632596486,358.0,1.0,11.7895699623,141.098549107,367.0,1.0,9.9144960002
1,1,-3,0.2,2,0.00295000011101,0.0585799999535,0.112539999187,30.9160228255,523.0,5.0,14.8502182051,143.889762745,497.0,5.0,12.0167276442
1,1,-3,0.2,3,0.00325000006706,0.0343099981546,0.0826700031757,23.2352552563,556.0,2.0,16.2121167403,118.256912442,517.0,2.0,13.3243843654
1,1,-3,0.2,4,0.00481999991462,0.0172199998051,0.0524999983609,302.605335541,717.0,10.0,39.6491269682,1216.02793779,653.0,10.0,37.0041469971
1,1,-3,0.2,5,0.0227499995381,0.00304000009783,0.015019999817,139.528467022,705.0,9.0,22.5537386221,2657.11122912,614.0,9.0,22.4292779321
1,1,-3,0.2,6,0.0621399991214,0.00142999994569,0.00836999993771,52.3174719182,602.0,1.0,18.9620999035,2666.81435592,514.0,1.0,16.4403424152
1,1,-3,0.3,1,0.00304000009783,0.12771999836,0.174209997058,2.87555083525,368.0,1.0,11.2805920726,139.083768361,367.0,1.0,9.9144960002
1,1,-3,0.3,2,0.00312000000849,0.0703300014138,0.12771999836,24.7231602823,540.0,1.0,15.6384206661,143.382099654,497.0,1.0,12.0167276442
1,1,-3,0.3,3,0.00340999988839,0.0427299998701,0.0982400029898,17.7326126872,571.0,1.0,16.8916421157,117.293874208,517.0,1.0,13.3243843654
1,1,-3,0.3,4,0.00500999996439,0.0224900003523,0.0662200003862,308.571063148,732.0,6.0,40.8651459095,1235.0140625,653.0,6.0,37.0041469971
1,1,-3,0.3,5,0.023199999705,0.00439999997616,0.0207899995148,140.869471846,714.0,8.0,22.9367015501,2663.63161722,614.0,8.0,22.4292779321
1,1,-3,0.3,6,0.0632499977946,0.00209999992512,0.0117800002918,52.3900993664,611.0,1.0,19.2891119934,2684.90347962,514.0,1.0,16.4403424152
1,1,-3,0.4,1,0.00325000006706,0.147809997201,0.185570001602,2.08105558756,380.0,1.0,10.8111617327,137.482232863,367.0,1.0,9.9144960002
1,1,-3,0.4,2,0.00329999998212,0.0835099965334,0.141069993377,16.8672469038,556.0,1.0,16.5493320436,142.45875216,497.0,1.0,12.0167276442
1,1,-3,0.4,3,0.0035800000187,0.0521100014448,0.11196000129,11.1651803715,587.0,1.0,17.7217272298,115.535739487,517.0,1.0,13.3243843654
1,1,-3,0.4,4,0.00522000016645,0.0284199994057,0.0785299986601,315.182835901,750.0,1.0,42.2388586627,1258.10881156,653.0,1.0,37.0041469971
1,1,-3,0.4,5,0.0236699990928,0.00582000007853,0.026040000841,142.257358871,725.0,7.0,23.3794958094,2674.48812284,614.0,7.0,22.4292779321
1,1,-3,0.4,6,0.0643900036812,0.0027799999807,0.0148600004613,52.5456797235,620.0,1.0,19.6464007056,2705.86285462,514.0,1.0,16.4403424152
1,1,-3,0.5,1,0.00346000003628,0.170149996877,0.195680007339,1.84634756624,390.0,1.0,10.3759621876,133.583226526,367.0,1.0,9.9144960002
1,1,-3,0.5,2,0.00349000003189,0.0981300026178,0.152950003743,9.0577296947,574.0,1.0,16.7737548111,141.036119312,497.0,1.0,12.0167276442
1,1,-3,0.5,3,0.00375999999233,0.0625300034881,0.124229997396,5.75652901786,603.0,1.0,17.946723091,113.380490351,517.0,1.0,13.3243843654
1,1,-3,0.5,4,0.00543999997899,0.0348800010979,0.0895600020885,321.917572725,769.0,1.0,43.6377249618,1282.73350014,653.0,1.0,37.0041469971
1,1,-3,0.5,5,0.0241500008851,0.00730999978259,0.0308999996632,143.412395593,735.0,6.0,23.8278989666,2687.33975374,614.0,6.0,22.4292779321
1,1,-3,0.5,6,0.0655599981546,0.00349000003189,0.017689999193,52.7942162298,629.0,1.0,19.9648133563,2728.93251008,514.0,1.0,16.4403424152
1,1,-3,0.6,1,0.00370000000112,0.194849997759,0.204720005393,1.69776605703,403.0,1.0,10.1377294202,130.115171371,367.0,1.0,9.9144960002
